Passos,Distancia Media
1,1.414214
2,1.791960
3,2.313979
4,2.819918
5,3.010999
6,3.002036
7,3.393576
8,3.824531
9,3.611243
10,3.762812
11,4.235244
12,4.465685
13,4.723317
14,4.393191
15,4.585793
16,5.126915
17,5.236950
18,4.968193
19,5.489657
20,5.931186
21,5.926934
22,6.112220
23,6.169915
24,6.379562
25,6.519367
26,6.365206
27,6.400329
28,6.543948
29,6.371698
30,6.619211
31,6.991465
32,7.320176
33,7.544575
34,7.229053
35,7.560233
36,7.875036
37,7.222868
38,7.697222
39,7.170628
40,8.229833
41,8.080520
42,8.558680
43,8.407105
44,8.235393
45,8.098594
46,7.648226
47,8.314160
48,8.310042
49,9.811252
50,9.566323
51,9.509648
52,7.953245
53,8.044829
54,9.070422
55,10.278192
56,9.522647
57,10.081603
58,8.078999
59,9.097290
60,9.421655
61,11.447132
62,10.466624
63,10.048931
64,9.124091
65,10.430890
66,11.163845
67,10.928859
68,10.556188
69,9.282528
70,10.254048
71,11.458056
72,11.225694
73,9.508801
74,10.511293
75,11.725302
76,10.586293
77,11.104893
78,10.071426
79,10.906067
80,11.664611
81,11.404480
82,10.215982
83,11.024513
84,11.993431
85,12.251983
86,11.036019
87,12.730811
88,12.467391
89,11.433654
90,10.990551
91,12.482153
92,12.009537
93,12.040374
94,11.434021
95,13.442086
96,12.426530
97,12.041555
98,13.065236
99,13.050638
100,12.168549
